Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.009740	 -1.#IND00 	 numero de thread:4
0.009760	 -1.#IND00 	 numero de thread:4
0.009780	 -1.#IND00 	 numero de thread:4
0.009800	 -1.#IND00 	 numero de thread:4
0.009820	 -1.#IND00 	 numero de thread:4
0.009840	 -1.#IND00 	 numero de thread:4
0.009860	 -1.#IND00 	 numero de thread:4
0.009880	 -1.#IND00 	 numero de thread:4
0.009900	 -1.#IND00 	 numero de thread:4
0.009920	 -1.#IND00 	 numero de thread:4
0.009940	 -1.#IND00 	 numero de thread:4
0.009960	 -1.#IND00 	 numero de thread:4
0.009980	 -1.#IND00 	 numero de thread:4
0.010000	 -1.#IND00 	 numero de thread:4
0.010020	 -1.#IND00 	 numero de thread:4
0.010040	 -1.#IND00 	 numero de thread:4
0.010060	 -1.#IND00 	 numero de thread:4
0.010080	 -1.#IND00 	 numero de thread:4
0.010100	 -1.#IND00 	 numero de thread:4
0.010120	 -1.#IND00 	 numero de thread:4
0.010140	 -1.#IND00 	 numero de thread:4
0.010160	 -1.#IND00 	 numero de thread:4
0.010180	 -1.#IND00 	 numero de thread:4
0.010200	 -1.#IND00 	 numero de thread:4
0.010220	 -1.#IND00 	 numero de thread:4
0.010240	 -1.#IND00 	 numero de thread:4
0.010260	 -1.#IND00 	 numero de thread:4
0.010280	 -1.#IND00 	 numero de thread:4
0.010300	 -1.#IND00 	 numero de thread:4
0.010320	 -1.#IND00 	 numero de thread:4
0.010340	 -1.#IND00 	 numero de thread:4
0.010360	 -1.#IND00 	 numero de thread:4
0.010380	 -1.#IND00 	 numero de thread:4
0.010400	 -1.#IND00 	 numero de thread:4
0.010420	 -1.#IND00 	 numero de thread:4
0.010440	 -1.#IND00 	 numero de thread:4
0.010460	 -1.#IND00 	 numero de thread:4
0.010480	 -1.#IND00 	 numero de thread:4
0.010500	 -1.#IND00 	 numero de thread:4
0.010520	 -1.#IND00 	 numero de thread:4
0.010540	 -1.#IND00 	 numero de thread:4
0.010560	 -1.#IND00 	 numero de thread:4
